subject,level,true_time,min_time,coco_count,rmi,level_order,s_total_time,s_rmi,s_time_in_game
64,10,249.71401977539065,450.4713134765625,348,0.5424310140206778,3,1.5078029816980876,0.4766658061816842,-0.8257228238447705
64,6,108.99908447265624,700.186279296875,238,0.4966521123708395,4,-1.4785376245793018,0.16759244908485527,-0.49543369430686224
64,4,209.26361083984384,809.184326171875,318,0.3309533633487567,5,0.6493390348195092,-0.9511121676996955,-0.1651445647689541
64,7,207.4310302734374,1018.447998046875,336,0.349281743346027,6,0.6104468607374872,-0.8273692701694593,0.1651445647689541
64,2,112.0489501953125,1225.8790283203125,231,0.6319541919900005,7,-1.4138114614917296,1.0810758762309103,0.49543369430686224
64,9,194.0150146484375,1337.927978515625,272,0.3059368590023299,8,0.3257237632980178,-1.1200095134752432,0.8257228238447705
64,8,125.7640380859375,1531.9429931640625,212,0.622873500841159,9,-1.1227412648681816,1.0197681646654493,1.1560119533826787
64,3,182.14794921875,1657.70703125,302,0.5337175073712864,10,0.07387345832660405,0.4178371175247894,1.4863010829205867
65,5,171.66219329833984,51.057899475097656,343,0.21337762355157763,1,0.13317571043563564,-1.0111521550146976,-1.4605934866804429
65,4,186.77511596679688,222.8311004638672,297,0.3722802667991487,2,0.5746418185473315,1.1316241164069059,-1.0954451150103321
65,8,120.44216918945313,409.6064147949219,234,0.35669737120164224,3,-1.3630209681811312,0.9214913065054732,-0.7302967433402214
65,2,117.85369873046876,530.0374755859375,208,0.27849392780579074,4,-1.4386332110648294,-0.13306939448308347,-0.3651483716701107
65,1,170.78564453125,647.90228271484375,343,0.17232639169769837,5,0.10757069800578202,-1.5647213325397777,0
65,9,181.8852539062501,818.68731689453125,288,0.26682510508352464,6,0.43180324122977737,-0.2904215689572437,0.3651483716701107
65,7,212.718994140625,1244.991943359375,254,0.22622898708820727,7,1.332492776828799,-0.8378536102019527,0.7302967433402214
65,3,202.7080078125,1457.7110595703125,259,0.35122391194352054,8,1.04006018324047,0.8476825996067265,1.0954451150103321
65,6,139.0970458984375,1660.4169921875,206,0.3578044466505039,9,-0.8180902490418355,0.9364200386776518,1.4605934866804429
66,7,170.39997482299802,58.32252883911133,268,0.2285448531021531,1,-0.3783182174929825,-1.2761269283699574,-1.4605934866804429
66,4,230.43200683593753,228.8394012451172,274,0.3648454933365476,2,1.0889530662743325,0.8966113843154768,-1.0954451150103321
66,5,223.83181762695313,459.27099609375,338,0.27594921205716383,3,0.927634720567055,-0.5204645432724146,-0.7302967433402214
66,10,210.13189697265636,683.10302734375,347,0.4238241047990417,4,0.5927884811192945,1.8367763647086708,-0.3651483716701107
66,6,128.0157470703124,893.2349853515625,234,0.31046754765656503,5,-1.4142511716326132,0.029784598022719294,0
66,3,185.78204345703125,1021.2509765625,313,0.27833832259216695,6,-0.002357803779348005,-0.48238026146922613,0.3651483716701107
66,9,234.781982421875,1207.0159912109375,287,0.2743760552875154,7,1.1952728766875336,-0.5455418868520016,0.7302967433402214
66,2,141.7490234375,1441.7979736328125,243,0.2582276130445387,8,-1.0785896694320647,-0.8029606274475404,1.0954451150103321
66,8,147.7821044921875,1787.4620361328125,224,0.36281864853776047,9,-0.9311322823112094,0.864301900364273,1.4605934866804429
67,8,104.89039611816406,80.512603759765625,222,0.5174370051916917,1,-1.0325732680759794,1.8269137187269628,-1.4863010829205867
67,10,163.5977020263672,185.52000427246097,345,0.37605386944998664,2,1.1897933936266325,-0.12487611725086667,-1.1560119533826787
67,9,162.48028564453125,349.10089111328125,324,0.35989626171040356,3,1.147493566104049,-0.3479313946316784,-0.8257228238447705
67,7,109.65982055664064,511.59710693359375,293,0.31846760698117005,4,-0.8520265762527561,-0.9198526976538239,-0.49543369430686224
67,5,141.01519775390625,621.24102783203125,347,0.45809679111748025,5,0.3349320802604975,1.0077238904125945,-0.1651445647689541
67,4,146.6021728515626,762.2725830078125,288,0.47310158457296136,6,0.5464271745202952,1.214864602094489,0.1651445647689541
67,1,152.5078124999999,908.8751220703124,344,0.30676411523039715,7,0.7699853240159996,-1.0814190409434556,0.49543369430686224
67,2,103.572021484375,1061.3819580078125,245,0.33927819639519186,8,-1.0824803756913164,-0.6325631515144525,0.8257228238447705
67,6,93.7650146484375,1164.9539794921875,238,0.3295776419570746,9,-1.4537248861676821,-0.7664790068697662,1.1560119533826787
67,3,143.583984375,1258.7030029296875,343,0.372322989335077,10,0.4321735676602585,-0.17638080237000148,1.4863010829205867
68,2,100.65699768066406,39.313201904296875,211,0.5729151609123764,1,-0.9321056855302018,0.33019251309612024,-1.4863010829205867
68,3,154.7263946533203,140.0706024169922,284,0.6957699271101743,2,-0.437985290755763,1.172939721467124,-1.1560119533826787
68,7,142.68649291992188,294.81988525390625,273,0.6833820176477355,3,-0.548013538353214,1.0879623417518378,-0.8257228238447705
68,1,178.17062377929688,437.4834899902344,348,0.315247225238489,4,-0.2237370764328201,-1.4373329985008423,-0.49543369430686224
68,8,473.7032470703125,615.65380859375,208,0.7549710451947111,5,2.477027212895784,1.5790418088526428,-0.1651445647689541
